Length,Density,Baseline,TasksPerNode,Distribution,Time
1000000,0.01,11,2,1,0.00370971
1000000,0.01,11,4,1,0.00825802
1000000,0.01,11,8,1,0.0207641
1000000,0.01,11,16,1,0.0378798
1000000,0.01,11,32,1,0.0883635
1000000,0.01,11,64,1,0.264425
1000000,0.01,11,128,1,0.482123
1000000,0.03,11,2,1,0.0168182
1000000,0.03,11,4,1,0.024276
1000000,0.03,11,8,1,0.0479333
1000000,0.03,11,16,1,0.0984315
1000000,0.03,11,32,1,0.263806
1000000,0.03,11,64,1,0.50209
1000000,0.03,11,128,1,0.780296
1000000,0.05,11,2,1,0.0244933
1000000,0.05,11,4,1,0.0444229
1000000,0.05,11,8,1,0.108399
1000000,0.05,11,16,1,0.12649
1000000,0.05,11,32,1,0.360016
1000000,0.05,11,64,1,0.616292
1000000,0.05,11,128,1,1.17469
1000000,0.1,11,2,1,0.0529195
1000000,0.1,11,4,1,0.0748547
1000000,0.1,11,8,1,0.227142
1000000,0.1,11,16,1,0.24119
1000000,0.1,11,32,1,0.402163
1000000,0.1,11,64,1,0.986717
1000000,0.1,11,128,1,2.18077
1000000,0.2,11,2,1,0.201333
1000000,0.2,11,4,1,0.143863
1000000,0.2,11,8,1,0.542798
1000000,0.2,11,16,1,0.316846
1000000,0.2,11,32,1,0.599259
1000000,0.2,11,64,1,1.72046
1000000,0.2,11,128,1,3.59029
1000000,0.01,11,2,2,0.00449001
1000000,0.01,11,4,2,0.00857822
1000000,0.01,11,8,2,0.018474
1000000,0.01,11,16,2,0.0342625
1000000,0.01,11,32,2,0.0847358
1000000,0.01,11,64,2,0.270864
1000000,0.01,11,128,2,0.397372
1000000,0.03,11,2,2,0.0143021
1000000,0.03,11,4,2,0.027776
1000000,0.03,11,8,2,0.0483102
1000000,0.03,11,16,2,0.0910449
1000000,0.03,11,32,2,0.18616
1000000,0.03,11,64,2,0.473216
1000000,0.03,11,128,2,0.862571
1000000,0.05,11,2,2,0.0193808
1000000,0.05,11,4,2,0.0399093
1000000,0.05,11,8,2,0.0723566
1000000,0.05,11,16,2,0.118662
1000000,0.05,11,32,2,0.233801
1000000,0.05,11,64,2,0.632902
1000000,0.05,11,128,2,1.14313
1000000,0.1,11,2,2,0.0373568
1000000,0.1,11,4,2,0.166706
1000000,0.1,11,8,2,0.156572
1000000,0.1,11,16,2,0.211596
1000000,0.1,11,32,2,0.49443
1000000,0.1,11,64,2,0.941513
1000000,0.1,11,128,2,2.12846
1000000,0.2,11,2,2,0.0614454
1000000,0.2,11,4,2,0.747763
1000000,0.2,11,8,2,0.393151
1000000,0.2,11,16,2,0.247538
1000000,0.2,11,32,2,1.13757
1000000,0.2,11,64,2,2.58354
1000000,0.2,11,128,2,3.68032
1000000,0.01,12,2,1,0.00350148
1000000,0.01,12,4,1,0.00846691
1000000,0.01,12,8,1,0.0181957
1000000,0.01,12,16,1,0.0356806
1000000,0.01,12,32,1,0.0843807
1000000,0.01,12,64,1,0.232841
1000000,0.01,12,128,1,0.502993
1000000,0.03,12,2,1,0.0132045
1000000,0.03,12,4,1,0.0240894
1000000,0.03,12,8,1,0.0657587
1000000,0.03,12,16,1,0.0945169
1000000,0.03,12,32,1,0.229212
1000000,0.03,12,64,1,0.501418
1000000,0.03,12,128,1,0.810955
1000000,0.05,12,2,1,0.0193495
1000000,0.05,12,4,1,0.0400376
1000000,0.05,12,8,1,0.0724717
1000000,0.05,12,16,1,0.12769
1000000,0.05,12,32,1,0.29114
1000000,0.05,12,64,1,0.598422
1000000,0.05,12,128,1,0.911499
1000000,0.1,12,2,1,0.0375352
1000000,0.1,12,4,1,0.0691472
1000000,0.1,12,8,1,0.127453
1000000,0.1,12,16,1,0.215199
1000000,0.1,12,32,1,0.448405
1000000,0.1,12,64,1,0.957865
1000000,0.1,12,128,1,1.78996
1000000,0.2,12,2,1,0.110995
1000000,0.2,12,4,1,0.141213
1000000,0.2,12,8,1,0.251191
1000000,0.2,12,16,1,0.306592
1000000,0.2,12,32,1,0.630336
1000000,0.2,12,64,1,2.28244
1000000,0.2,12,128,1,2.91621
1000000,0.01,12,2,2,0.00350197
1000000,0.01,12,4,2,0.0110881
1000000,0.01,12,8,2,0.0185511
1000000,0.01,12,16,2,0.0403058
1000000,0.01,12,32,2,0.0712478
1000000,0.01,12,64,2,0.215631
1000000,0.01,12,128,2,0.326179
1000000,0.03,12,2,2,0.0113521
1000000,0.03,12,4,2,0.0257672
1000000,0.03,12,8,2,0.0439365
1000000,0.03,12,16,2,0.0903026
1000000,0.03,12,32,2,0.2893
1000000,0.03,12,64,2,0.514318
1000000,0.03,12,128,2,0.56357
1000000,0.05,12,2,2,0.0205999
1000000,0.05,12,4,2,0.0379328
1000000,0.05,12,8,2,0.0692791
1000000,0.05,12,16,2,0.114274
1000000,0.05,12,32,2,0.31308
1000000,0.05,12,64,2,0.756024
1000000,0.05,12,128,2,1.0242
1000000,0.1,12,2,2,0.0374023
1000000,0.1,12,4,2,0.0638166
1000000,0.1,12,8,2,0.113974
1000000,0.1,12,16,2,0.2008
1000000,0.1,12,32,2,0.44117
1000000,0.1,12,64,2,0.999917
1000000,0.1,12,128,2,1.58532
1000000,0.2,12,2,2,0.0687323
1000000,0.2,12,4,2,0.196076
1000000,0.2,12,8,2,0.268479
1000000,0.2,12,16,2,0.498907
1000000,0.2,12,32,2,1.2109
1000000,0.2,12,64,2,2.03194
1000000,0.2,12,128,2,3.10044
1000000,0.01,13,2,1,0.00747138
1000000,0.01,13,4,1,0.0166639
1000000,0.01,13,8,1,0.0325603
1000000,0.01,13,16,1,0.0654735
1000000,0.01,13,32,1,0.130831
1000000,0.01,13,64,1,0.335587
1000000,0.01,13,128,1,0.629888
1000000,0.03,13,2,1,0.0153201
1000000,0.03,13,4,1,0.034063
